,date,gender,age_group,cases,deaths
19,2021-04-01,female,total,,
39,2021-04-01,male,total,,
59,2021-04-01,total,total,,
79,2021-04-02,female,total,1272.0,
99,2021-04-02,male,total,1171.0,
119,2021-04-02,total,total,2443.0,
139,2021-04-03,female,total,1204.0,
159,2021-04-03,male,total,1072.0,
179,2021-04-03,total,total,2276.0,
199,2021-04-04,female,total,1152.0,
219,2021-04-04,male,total,1013.0,
239,2021-04-04,total,total,2165.0,
259,2021-04-05,female,total,1286.0,
279,2021-04-05,male,total,1184.0,
299,2021-04-05,total,total,2470.0,
319,2021-04-06,female,total,1485.0,
339,2021-04-06,male,total,1388.0,
359,2021-04-06,total,total,2873.0,
379,2021-04-07,female,total,1493.0,
399,2021-04-07,male,total,1345.0,
419,2021-04-07,total,total,2839.0,
439,2021-04-08,female,total,1401.0,
459,2021-04-08,male,total,1326.0,
479,2021-04-08,total,total,2727.0,
499,2021-04-09,female,total,1272.0,
519,2021-04-09,male,total,1283.0,
539,2021-04-09,total,total,2555.0,
559,2021-04-10,female,total,1029.0,
579,2021-04-10,male,total,1061.0,
599,2021-04-10,total,total,2090.0,
619,2021-04-11,female,total,1039.0,
639,2021-04-11,male,total,1060.0,
659,2021-04-11,total,total,2099.0,
679,2021-04-12,female,total,1250.0,
699,2021-04-12,male,total,1223.0,
719,2021-04-12,total,total,2475.0,
739,2021-04-13,female,total,1067.0,
759,2021-04-13,male,total,1081.0,
779,2021-04-13,total,total,2148.0,
799,2021-04-14,female,total,1112.0,
819,2021-04-14,male,total,1025.0,
839,2021-04-14,total,total,2137.0,
859,2021-04-15,female,total,976.0,
879,2021-04-15,male,total,1006.0,
899,2021-04-15,total,total,1982.0,
919,2021-04-16,female,total,1061.0,
939,2021-04-16,male,total,1106.0,
959,2021-04-16,total,total,2167.0,
979,2021-04-17,female,total,764.0,
999,2021-04-17,male,total,735.0,
1019,2021-04-17,total,total,1499.0,
1039,2021-04-18,female,total,1191.0,
1059,2021-04-18,male,total,1094.0,
1079,2021-04-18,total,total,2287.0,
1099,2021-04-19,female,total,1188.0,
1119,2021-04-19,male,total,1172.0,
1139,2021-04-19,total,total,2360.0,
1159,2021-04-20,female,total,1089.0,
1179,2021-04-20,male,total,1073.0,
1199,2021-04-20,total,total,2162.0,
1219,2021-04-21,female,total,1206.0,
1239,2021-04-21,male,total,1142.0,
1259,2021-04-21,total,total,2348.0,
1279,2021-04-22,female,total,1042.0,
1299,2021-04-22,male,total,1051.0,
1319,2021-04-22,total,total,2093.0,
1339,2021-04-23,female,total,895.0,
1359,2021-04-23,male,total,859.0,
1379,2021-04-23,total,total,1754.0,
1399,2021-04-24,female,total,686.0,
1419,2021-04-24,male,total,652.0,
1439,2021-04-24,total,total,1338.0,
1459,2021-04-25,female,total,1067.0,
1479,2021-04-25,male,total,804.0,
1499,2021-04-25,total,total,1871.0,
1519,2021-04-26,female,total,1208.0,
1539,2021-04-26,male,total,1053.0,
1559,2021-04-26,total,total,2261.0,
1579,2021-04-27,female,total,950.0,
1599,2021-04-27,male,total,921.0,
1619,2021-04-27,total,total,1871.0,
1639,2021-04-28,female,total,1212.0,
1659,2021-04-28,male,total,975.0,
1679,2021-04-28,total,total,2189.0,
1699,2021-04-29,female,total,1005.0,
1719,2021-04-29,male,total,875.0,
1739,2021-04-29,total,total,1881.0,
1759,2021-04-30,female,total,825.0,
1779,2021-04-30,male,total,741.0,
1799,2021-04-30,total,total,1566.0,
1819,2021-05-01,female,total,612.0,
1839,2021-05-01,male,total,633.0,
1859,2021-05-01,total,total,1246.0,
1879,2021-05-02,female,total,713.0,
1899,2021-05-02,male,total,616.0,
1919,2021-05-02,total,total,1329.0,
1939,2021-05-03,female,total,991.0,
1959,2021-05-03,male,total,860.0,
1979,2021-05-03,total,total,1851.0,
1999,2021-05-04,female,total,1168.0,
2019,2021-05-04,male,total,1044.0,
2039,2021-05-04,total,total,2212.0,
2059,2021-05-05,female,total,1192.0,
2079,2021-05-05,male,total,1042.0,
2099,2021-05-05,total,total,2234.0,
2119,2021-05-06,female,total,1003.0,
2139,2021-05-06,male,total,1002.0,
2159,2021-05-06,total,total,2006.0,
2179,2021-05-07,female,total,912.0,
2199,2021-05-07,male,total,820.0,
2219,2021-05-07,total,total,1732.0,
2239,2021-05-08,female,total,685.0,
2259,2021-05-08,male,total,687.0,
2279,2021-05-08,total,total,1374.0,
2299,2021-05-09,female,total,1120.0,
2319,2021-05-09,male,total,932.0,
2339,2021-05-09,total,total,2053.0,
2359,2021-05-10,female,total,1291.0,
2379,2021-05-10,male,total,1199.0,
2399,2021-05-10,total,total,2490.0,
2419,2021-05-11,female,total,1019.0,
2439,2021-05-11,male,total,998.0,
2459,2021-05-11,total,total,2017.0,
2479,2021-05-12,female,total,1071.0,
2499,2021-05-12,male,total,978.0,
2519,2021-05-12,total,total,2049.0,
2539,2021-05-13,female,total,983.0,
2559,2021-05-13,male,total,972.0,
2579,2021-05-13,total,total,1955.0,
2599,2021-05-14,female,total,896.0,
2619,2021-05-14,male,total,845.0,
2639,2021-05-14,total,total,1741.0,
2659,2021-05-15,female,total,774.0,
2679,2021-05-15,male,total,705.0,
2699,2021-05-15,total,total,1479.0,
2719,2021-05-16,female,total,890.0,
2739,2021-05-16,male,total,852.0,
2759,2021-05-16,total,total,1742.0,
2779,2021-05-17,female,total,1342.0,
2799,2021-05-17,male,total,1257.0,
2819,2021-05-17,total,total,2599.0,
2839,2021-05-18,female,total,1315.0,
2859,2021-05-18,male,total,1227.0,
2879,2021-05-18,total,total,2542.0,
2899,2021-05-19,female,total,1334.0,
2919,2021-05-19,male,total,1242.0,
2939,2021-05-19,total,total,2576.0,
2959,2021-05-20,female,total,1118.0,
2979,2021-05-20,male,total,1159.0,
2999,2021-05-20,total,total,2280.0,
3019,2021-05-21,female,total,1102.0,
3039,2021-05-21,male,total,1043.0,
3059,2021-05-21,total,total,2145.0,
3079,2021-05-22,female,total,939.0,
3099,2021-05-22,male,total,875.0,
3119,2021-05-22,total,total,1814.0,
3139,2021-05-23,female,total,1131.0,
3159,2021-05-23,male,total,1029.0,
3179,2021-05-23,total,total,2160.0,
3199,2021-05-24,female,total,1565.0,
3219,2021-05-24,male,total,1534.0,
3239,2021-05-24,total,total,3100.0,
3259,2021-05-25,female,total,1527.0,
3279,2021-05-25,male,total,1652.0,
3299,2021-05-25,total,total,3179.0,
3319,2021-05-26,female,total,1846.0,
3339,2021-05-26,male,total,1824.0,
3359,2021-05-26,total,total,3671.0,
3379,2021-05-27,female,total,1769.0,
3399,2021-05-27,male,total,1723.0,
3419,2021-05-27,total,total,3492.0,
3439,2021-05-28,female,total,1664.0,
3459,2021-05-28,male,total,1697.0,
3479,2021-05-28,total,total,3362.0,
3499,2021-05-29,female,total,1417.0,
3519,2021-05-29,male,total,1395.0,
3539,2021-05-29,total,total,2812.0,
3559,2021-05-30,female,total,1509.0,
3579,2021-05-30,male,total,1507.0,
3599,2021-05-30,total,total,3016.0,
3619,2021-05-31,female,total,1810.0,
3639,2021-05-31,male,total,1843.0,
3659,2021-05-31,total,total,3654.0,
3679,2021-06-01,female,total,2498.0,
3699,2021-06-01,male,total,2582.0,
3719,2021-06-01,total,total,5083.0,
3739,2021-06-02,female,total,2842.0,
3759,2021-06-02,male,total,3008.0,
3779,2021-06-02,total,total,5851.0,
3799,2021-06-03,female,total,2960.0,
3819,2021-06-03,male,total,2938.0,
3839,2021-06-03,total,total,5903.0,
3859,2021-06-04,female,total,2676.0,
3879,2021-06-04,male,total,2861.0,
3899,2021-06-04,total,total,5538.0,
3919,2021-06-05,female,total,2239.0,
3939,2021-06-05,male,total,2202.0,
3959,2021-06-05,total,total,4442.0,
3979,2021-06-06,female,total,2716.0,
3999,2021-06-06,male,total,2556.0,
4019,2021-06-06,total,total,5273.0,
4039,2021-06-07,female,total,3770.0,
4059,2021-06-07,male,total,3729.0,
4079,2021-06-07,total,total,7499.0,
4099,2021-06-08,female,total,3695.0,
4119,2021-06-08,male,total,3719.0,
4139,2021-06-08,total,total,7414.0,
4159,2021-06-09,female,total,3909.0,
4179,2021-06-09,male,total,3831.0,
4199,2021-06-09,total,total,7742.0,
4219,2021-06-10,female,total,3804.0,
4239,2021-06-10,male,total,3728.0,
4259,2021-06-10,total,total,7533.0,
4279,2021-06-11,female,total,3611.0,
4299,2021-06-11,male,total,3545.0,
4319,2021-06-11,total,total,7157.0,
4339,2021-06-12,female,total,2983.0,
4359,2021-06-12,male,total,2961.0,
4379,2021-06-12,total,total,5944.0,
4399,2021-06-13,female,total,3497.0,
4419,2021-06-13,male,total,3242.0,
4439,2021-06-13,total,total,6741.0,
4459,2021-06-14,female,total,4884.0,
4479,2021-06-14,male,total,4892.0,
4499,2021-06-14,total,total,9776.0,
4519,2021-06-15,female,total,4955.0,
4539,2021-06-15,male,total,5117.0,
4559,2021-06-15,total,total,10073.0,
4579,2021-06-16,female,total,5142.0,
4599,2021-06-16,male,total,5233.0,
4619,2021-06-16,total,total,10376.0,
4639,2021-06-17,female,total,5115.0,
4659,2021-06-17,male,total,5170.0,
4679,2021-06-17,total,total,10286.0,
4699,2021-06-18,female,total,4841.0,
4719,2021-06-18,male,total,4834.0,
4739,2021-06-18,total,total,9675.0,
4759,2021-06-19,female,total,3942.0,
4779,2021-06-19,male,total,3968.0,
4799,2021-06-19,total,total,7912.0,
4819,2021-06-20,female,total,4688.0,
4839,2021-06-20,male,total,4836.0,
4859,2021-06-20,total,total,9524.0,
4879,2021-06-21,female,total,7023.0,
4899,2021-06-21,male,total,8316.0,
4919,2021-06-21,total,total,15340.0,
4939,2021-06-22,female,total,7372.0,
4959,2021-06-22,male,total,9006.0,
4979,2021-06-22,total,total,16382.0,
4999,2021-06-23,female,total,8041.0,
5019,2021-06-23,male,total,9165.0,
5039,2021-06-23,total,total,17206.0,
5059,2021-06-24,female,total,8471.0,
5079,2021-06-24,male,total,9081.0,
5099,2021-06-24,total,total,17554.0,
5119,2021-06-25,female,total,8280.0,
5139,2021-06-25,male,total,8699.0,
5159,2021-06-25,total,total,16980.0,
5179,2021-06-26,female,total,7306.0,
5199,2021-06-26,male,total,8099.0,
5219,2021-06-26,total,total,15405.0,
5239,2021-06-27,female,total,8573.0,
5259,2021-06-27,male,total,8892.0,
5279,2021-06-27,total,total,17465.0,
5299,2021-06-28,female,total,13091.0,
5319,2021-06-28,male,total,13580.0,
5339,2021-06-28,total,total,26672.0,
5359,2021-06-29,female,total,12973.0,
5379,2021-06-29,male,total,13376.0,
5399,2021-06-29,total,total,26353.0,
5419,2021-06-30,female,total,13624.0,
5439,2021-06-30,male,total,13524.0,
5459,2021-06-30,total,total,27149.0,
5479,2021-07-01,female,total,13145.0,
5499,2021-07-01,male,total,13764.0,
5519,2021-07-01,total,total,26910.0,
5539,2021-07-02,female,total,12009.0,
5559,2021-07-02,male,total,12666.0,
5579,2021-07-02,total,total,24680.0,
5599,2021-07-03,female,total,10586.0,
5619,2021-07-03,male,total,12044.0,
5639,2021-07-03,total,total,22632.0,
5659,2021-07-04,female,total,11209.0,
5679,2021-07-04,male,total,12458.0,
5699,2021-07-04,total,total,23669.0,
5719,2021-07-05,female,total,15596.0,
5739,2021-07-05,male,total,17189.0,
5759,2021-07-05,total,total,32786.0,
5779,2021-07-06,female,total,16204.0,
5799,2021-07-06,male,total,17696.0,
5819,2021-07-06,total,total,33904.0,
5839,2021-07-07,female,total,17247.0,
5859,2021-07-07,male,total,18977.0,
5879,2021-07-07,total,total,36227.0,
5899,2021-07-08,female,total,15307.0,
5919,2021-07-08,male,total,16502.0,
5939,2021-07-08,total,total,31813.0,
5959,2021-07-09,female,total,14863.0,
5979,2021-07-09,male,total,15863.0,
5999,2021-07-09,total,total,30726.0,
6019,2021-07-10,female,total,12836.0,
6039,2021-07-10,male,total,13809.0,
6059,2021-07-10,total,total,26648.0,
6079,2021-07-11,female,total,13250.0,
6099,2021-07-11,male,total,15476.0,
6119,2021-07-11,total,total,28727.0,
6139,2021-07-12,female,total,19641.0,
6159,2021-07-12,male,total,22387.0,
6179,2021-07-12,total,total,42029.0,
6199,2021-07-13,female,total,20257.0,
6219,2021-07-13,male,total,24267.0,
6239,2021-07-13,total,total,44524.0,
6259,2021-07-14,female,total,23028.0,
6279,2021-07-14,male,total,28223.0,
6299,2021-07-14,total,total,51251.0,
6319,2021-07-15,female,total,25280.0,
6339,2021-07-15,male,total,32764.0,
6359,2021-07-15,total,total,58045.0,
6379,2021-07-16,female,total,22651.0,
6399,2021-07-16,male,total,29011.0,
6419,2021-07-16,total,total,51662.0,
6439,2021-07-17,female,total,16347.0,
6459,2021-07-17,male,total,19544.0,
6479,2021-07-17,total,total,35892.0,
6499,2021-07-18,female,total,16128.0,
6519,2021-07-18,male,total,17621.0,
6539,2021-07-18,total,total,33752.0,
6559,2021-07-19,female,total,21715.0,
6579,2021-07-19,male,total,22417.0,
6599,2021-07-19,total,total,44132.0,
6619,2021-07-20,female,total,18155.0,
6639,2021-07-20,male,total,18353.0,
6659,2021-07-20,total,total,36509.0,
6679,2021-07-21,female,total,16445.0,
6699,2021-07-21,male,total,15984.0,
6719,2021-07-21,total,total,32429.0,
6739,2021-07-22,female,total,14634.0,
6759,2021-07-22,male,total,13691.0,
6779,2021-07-22,total,total,28327.0,
6799,2021-07-23,female,total,13039.0,
6819,2021-07-23,male,total,12064.0,
6839,2021-07-23,total,total,25104.0,
6859,2021-07-24,female,total,10735.0,
6879,2021-07-24,male,total,9936.0,
6899,2021-07-24,total,total,20671.0,
6919,2021-07-25,female,total,10385.0,
6939,2021-07-25,male,total,9669.0,
6959,2021-07-25,total,total,20054.0,
6979,2021-07-26,female,total,14058.0,
6999,2021-07-26,male,total,13012.0,
7019,2021-07-26,total,total,27071.0,
7039,2021-07-27,female,total,13687.0,
7059,2021-07-27,male,total,12918.0,
7079,2021-07-27,total,total,26605.0,
7099,2021-07-28,female,total,13860.0,
7119,2021-07-28,male,total,13587.0,
7139,2021-07-28,total,total,27450.0,
7159,2021-07-29,female,total,13000.0,
7179,2021-07-29,male,total,12784.0,
7199,2021-07-29,total,total,25786.0,
7219,2021-07-30,female,total,11448.0,
7239,2021-07-30,male,total,10994.0,
7259,2021-07-30,total,total,22443.0,
7279,2021-07-31,female,total,9705.0,
7299,2021-07-31,male,total,8958.0,
7319,2021-07-31,total,total,18664.0,
7339,2021-08-01,female,total,9741.0,
7359,2021-08-01,male,total,9209.0,
7379,2021-08-01,total,total,18953.0,
7399,2021-08-02,female,total,14014.0,
7419,2021-08-02,male,total,13081.0,
7439,2021-08-02,total,total,27095.0,
7459,2021-08-03,female,total,14212.0,
7479,2021-08-03,male,total,13417.0,
7499,2021-08-03,total,total,27630.0,
7519,2021-08-04,female,total,14976.0,
7539,2021-08-04,male,total,14377.0,
7559,2021-08-04,total,total,29353.0,
7579,2021-08-05,female,total,14619.0,
7599,2021-08-05,male,total,14065.0,
7619,2021-08-05,total,total,28685.0,
7639,2021-08-06,female,total,13179.0,
7659,2021-08-06,male,total,12225.0,
7679,2021-08-06,total,total,25405.0,
7699,2021-08-07,female,total,10535.0,
7719,2021-08-07,male,total,9799.0,
7739,2021-08-07,total,total,20335.0,
7759,2021-08-08,female,total,10852.0,
7779,2021-08-08,male,total,9767.0,
7799,2021-08-08,total,total,20620.0,
7819,2021-08-09,female,total,14995.0,
7839,2021-08-09,male,total,13962.0,
7859,2021-08-09,total,total,28958.0,
7879,2021-08-10,female,total,14767.0,
7899,2021-08-10,male,total,13587.0,
7919,2021-08-10,total,total,28356.0,
7939,2021-08-11,female,total,15264.0,
7959,2021-08-11,male,total,14585.0,
7979,2021-08-11,total,total,29850.0,
7999,2021-08-12,female,total,14708.0,
8019,2021-08-12,male,total,13540.0,
8039,2021-08-12,total,total,28250.0,
8059,2021-08-13,female,total,13290.0,
8079,2021-08-13,male,total,12528.0,
8099,2021-08-13,total,total,25821.0,
8119,2021-08-14,female,total,11721.0,
8139,2021-08-14,male,total,10528.0,
8159,2021-08-14,total,total,22251.0,
8179,2021-08-15,female,total,11764.0,
8199,2021-08-15,male,total,10615.0,
8219,2021-08-15,total,total,22380.0,
8239,2021-08-16,female,total,17050.0,
8259,2021-08-16,male,total,15672.0,
8279,2021-08-16,total,total,32722.0,
8299,2021-08-17,female,total,17531.0,
8319,2021-08-17,male,total,15961.0,
8339,2021-08-17,total,total,33495.0,
8359,2021-08-18,female,total,17435.0,
8379,2021-08-18,male,total,16771.0,
8399,2021-08-18,total,total,34209.0,
8419,2021-08-19,female,total,16292.0,
8439,2021-08-19,male,total,15628.0,
8459,2021-08-19,total,total,31927.0,
8479,2021-08-20,female,total,14617.0,
8499,2021-08-20,male,total,13659.0,
8519,2021-08-20,total,total,28280.0,
8539,2021-08-21,female,total,13066.0,
8559,2021-08-21,male,total,11977.0,
8579,2021-08-21,total,total,25043.0,
8599,2021-08-22,female,total,13241.0,
8619,2021-08-22,male,total,12247.0,
8639,2021-08-22,total,total,25490.0,
8659,2021-08-23,female,total,18082.0,
8679,2021-08-23,male,total,16932.0,
8699,2021-08-23,total,total,35018.0,
8719,2021-08-24,female,total,17150.0,
8739,2021-08-24,male,total,15814.0,
8759,2021-08-24,total,total,32968.0,
8779,2021-08-25,female,total,17174.0,
8799,2021-08-25,male,total,16713.0,
8819,2021-08-25,total,total,33891.0,
8839,2021-08-26,female,total,17015.0,
8859,2021-08-26,male,total,15952.0,
8879,2021-08-26,total,total,32977.0,
8899,2021-08-27,female,total,15295.0,
8919,2021-08-27,male,total,14303.0,
8939,2021-08-27,total,total,29602.0,
8959,2021-08-28,female,total,12682.0,
8979,2021-08-28,male,total,11628.0,
8999,2021-08-28,total,total,24314.0,
9019,2021-08-29,female,total,12153.0,
9039,2021-08-29,male,total,10924.0,
9059,2021-08-29,total,total,23082.0,
9079,2021-08-30,female,total,15898.0,
9099,2021-08-30,male,total,14875.0,
9119,2021-08-30,total,total,30778.0,
9139,2021-08-31,female,total,20769.0,
9159,2021-08-31,male,total,18839.0,
9179,2021-08-31,total,total,39611.0,
9199,2021-09-01,female,total,19799.0,
9219,2021-09-01,male,total,18442.0,
9239,2021-09-01,total,total,38244.0,
9259,2021-09-02,female,total,19240.0,
9279,2021-09-02,male,total,18101.0,
9299,2021-09-02,total,total,37345.0,
9319,2021-09-03,female,total,17653.0,
9339,2021-09-03,male,total,16404.0,
9359,2021-09-03,total,total,34062.0,
9379,2021-09-04,female,total,14800.0,
9399,2021-09-04,male,total,13034.0,
9419,2021-09-04,total,total,27841.0,
9439,2021-09-05,female,total,14752.0,
9459,2021-09-05,male,total,13005.0,
9479,2021-09-05,total,total,27758.0,
9499,2021-09-06,female,total,20729.0,
9519,2021-09-06,male,total,18551.0,
9539,2021-09-06,total,total,39284.0,
9559,2021-09-07,female,total,17984.0,
9579,2021-09-07,male,total,15900.0,
9599,2021-09-07,total,total,33884.0,
9619,2021-09-08,female,total,16386.0,
9639,2021-09-08,male,total,14739.0,
9659,2021-09-08,total,total,31129.0,
9679,2021-09-09,female,total,15528.0,
9699,2021-09-09,male,total,13763.0,
9719,2021-09-09,total,total,29294.0,
9739,2021-09-10,female,total,13256.0,
9759,2021-09-10,male,total,11903.0,
9779,2021-09-10,total,total,25161.0,
9799,2021-09-11,female,total,10737.0,
9819,2021-09-11,male,total,9397.0,
9839,2021-09-11,total,total,20138.0,
9859,2021-09-12,female,total,11163.0,
9879,2021-09-12,male,total,9615.0,
9899,2021-09-12,total,total,20778.0,
9919,2021-09-13,female,total,15593.0,
9939,2021-09-13,male,total,13947.0,
9959,2021-09-13,total,total,29544.0,
9979,2021-09-14,female,total,14146.0,
9999,2021-09-14,male,total,12625.0,
10019,2021-09-14,total,total,26774.0,
10039,2021-09-15,female,total,13847.0,
10059,2021-09-15,male,total,12037.0,
10079,2021-09-15,total,total,25884.0,
10099,2021-09-16,female,total,13486.0,
10119,2021-09-16,male,total,11689.0,
10139,2021-09-16,total,total,25175.0,
10159,2021-09-17,female,total,13284.0,
10179,2021-09-17,male,total,11878.0,
10199,2021-09-17,total,total,25165.0,
10219,2021-09-18,female,total,12523.0,
10239,2021-09-18,male,total,10535.0,
10259,2021-09-18,total,total,23060.0,
10279,2021-09-19,female,total,14328.0,
10299,2021-09-19,male,total,12627.0,
10319,2021-09-19,total,total,26959.0,
10339,2021-09-20,female,total,18700.0,
10359,2021-09-20,male,total,16610.0,
10379,2021-09-20,total,total,35317.0,
10399,2021-09-21,female,total,17862.0,
10419,2021-09-21,male,total,15741.0,
10439,2021-09-21,total,total,33604.0,
10459,2021-09-22,female,total,17053.0,
10479,2021-09-22,male,total,14500.0,
10499,2021-09-22,total,total,31554.0,
10519,2021-09-23,female,total,16427.0,
10539,2021-09-23,male,total,14277.0,
10559,2021-09-23,total,total,30705.0,
10579,2021-09-24,female,total,15000.0,
10599,2021-09-24,male,total,12820.0,
10619,2021-09-24,total,total,27823.0,
10639,2021-09-25,female,total,13258.0,
10659,2021-09-25,male,total,11478.0,
10679,2021-09-25,total,total,24736.0,
10699,2021-09-26,female,total,15273.0,
10719,2021-09-26,male,total,13057.0,
10739,2021-09-26,total,total,28330.0,
10759,2021-09-27,female,total,19656.0,
10779,2021-09-27,male,total,17190.0,
10799,2021-09-27,total,total,36848.0,
10819,2021-09-28,female,total,17220.0,
10839,2021-09-28,male,total,14836.0,
10859,2021-09-28,total,total,32059.0,
10879,2021-09-29,female,total,16371.0,
10899,2021-09-29,male,total,14239.0,
10919,2021-09-29,total,total,30613.0,
10939,2021-09-30,female,total,15347.0,
10959,2021-09-30,male,total,13146.0,
10979,2021-09-30,total,total,28496.0,
